Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Mafia II,0.84,0.56,0,0.15,1.55
Dishonored,0.72,0.54,0.04,0.25,1.55
Stuntman,0.76,0.59,0,0.2,1.55
Tom Clancy's Rainbow Six 3,0.91,0.57,0,0.07,1.55
Active Life: Outdoor Challenge,0.79,0.44,0.19,0.14,1.55
BioShock 2,0.85,0.47,0.02,0.22,1.55
007: The World is not Enough,1.13,0.38,0.02,0.03,1.55
Spider-Man 2: Enter: Electro,0.57,0.87,0.02,0.09,1.55
Watch Dogs,0.9,0.53,0,0.13,1.55
Star Wars: The Force Unleashed II,0.8,0.53,0,0.22,1.55
Ni no Kuni: Wrath of the White Witch,0.6,0.51,0.21,0.23,1.55
Command & Conquer: Tiberian Sun,1.55,0,0,0,1.55
LEGO Battles: Ninjago,1.07,0.36,0,0.12,1.55
Mario Party 10,0.69,0.5,0.24,0.11,1.55
Dead Rising 3,1.06,0.35,0.01,0.12,1.54
Resident Evil: The Umbrella Chronicles,0.68,0.43,0.29,0.14,1.54
Fire Emblem Fates,0.71,0.22,0.52,0.1,1.54
Dark Cloud,0.83,0.44,0.08,0.19,1.54
Warcraft III: The Frozen Throne,0.58,0.87,0,0.09,1.54
Tom Clancy's Ghost Recon Advanced Warfighter,1.4,0.02,0.02,0.1,1.54
Disney Fairies: Tinker Bell,0.86,0.52,0.01,0.15,1.54
MVP Baseball 2005,1.26,0.07,0,0.21,1.54
Die Hard Trilogy,0.85,0.58,0,0.1,1.54
Call of Duty: Black Ops II,0.63,0.69,0,0.21,1.53
Fight Night Round 4,0.92,0.41,0,0.21,1.53
MySims Kingdom,0.71,0.65,0.01,0.17,1.53
The Simpsons Game,0.57,0.79,0,0.17,1.53
Mortal Kombat 3,1.19,0.29,0,0.05,1.53
NFL GameDay 99,1.44,0.05,0,0.04,1.53
Call of Duty: Modern Warfare: Reflex Edition,0.95,0.43,0,0.14,1.53
FIFA 17,0.17,1.26,0,0.1,1.53
Mario Golf: Toadstool Tour,1.09,0.15,0.25,0.04,1.53
Tiger Woods 99 PGA Tour Golf,0.85,0.58,0,0.1,1.53
Donkey Kong Country: Tropical Freeze,0.73,0.52,0.15,0.12,1.52
Dead Space 2,0.94,0.45,0,0.13,1.52
Sonic Rivals 2,0.44,0.69,0,0.39,1.52
Knockout Kings,1.07,0.39,0,0.06,1.52
The Simpsons Skateboarding,0.36,0.9,0,0.27,1.52
NASCAR 98,1.43,0.05,0,0.04,1.52
F1 Race,0,0,1.52,0,1.52
Xevious,0.18,0.06,1.27,0.01,1.52
NASCAR 99,1.45,0.04,0,0.04,1.52
NBA Live 2000,1.43,0.05,0,0.03,1.52
Mafia II,0.5,0.72,0.04,0.26,1.52
Call of Duty 3,0.6,0.63,0.03,0.26,1.52
Super Monkey Ball 2,1.11,0.31,0.06,0.04,1.52
Pac-Man World 2,1.26,0.05,0,0.21,1.51
Madden NFL 15,1.3,0.09,0,0.12,1.51
Sonic & Sega All-Stars Racing,0.65,0.71,0,0.15,1.51
LEGO Star Wars III: The Clone Wars,0.84,0.54,0,0.13,1.51
Football Manager 2012,0.02,1.16,0,0.34,1.51
Puzzle & Dragons,0,0,1.51,0,1.51
Mega Man 2,0.93,0.15,0.42,0.01,1.51
Simpsons Wrestling,0.23,1.16,0,0.11,1.51
NBA Live 98,1.41,0.06,0,0.04,1.51
The Simpsons Game,0.35,0.03,0,1.13,1.51
Monopoly,1.18,0.27,0,0.05,1.51
SoulCalibur II,0.99,0.32,0.11,0.08,1.5
Resistance 3,0.64,0.58,0.05,0.23,1.5
Tokyo Xtreme Racer Zero,0.66,0.52,0.15,0.17,1.5
Final Fantasy XIV: A Realm Reborn,0.86,0.48,0,0.17,1.5
NFL Blitz,1.41,0.05,0,0.04,1.5
Red Faction II,0.49,0.78,0,0.23,1.5
Super Scribblenauts,1.08,0.31,0,0.11,1.5
Madden NFL 2001,1.19,0.07,0.05,0.2,1.5
WWF No Mercy,1.2,0.27,0.02,0.02,1.5
Ice Climber,0.46,0.1,0.92,0.02,1.5
Sonic CD,1,0.36,0.09,0.05,1.5
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,0,0,1.5,0,1.5
Dead Rising 2,0.75,0.53,0.09,0.12,1.5
Rock Band 2,1.13,0.2,0,0.16,1.5
Pac-Man World,1.21,0.14,0.1,0.04,1.5
Disney Sing It: Pop Hits,1.08,0.28,0,0.13,1.49
Final Fantasy: Crystal Chronicles,0.72,0.38,0.36,0.04,1.49
Medal of Honor: Frontline,1,0.43,0,0.06,1.49
Madden NFL 09,1.22,0,0,0.27,1.49
Drawn To Life: SpongeBob SquarePants Edition,1,0.36,0,0.13,1.49
Banjo-Tooie,0.82,0.36,0.25,0.06,1.49
Buzz! The BIG Quiz,0,1.1,0,0.39,1.49
007: Quantum of Solace,0.82,0.52,0.01,0.14,1.49
The Sims 3,0.61,0.73,0,0.15,1.49
New Play Control! Mario Power Tennis,0.37,0.69,0.28,0.14,1.48
Bratz: Forever Diamondz,0.43,0.88,0,0.18,1.48
Dirge of Cerberus: Final Fantasy VII,0.47,0.37,0.52,0.12,1.48
Nintendo World Cup,0.28,0.5,0.65,0.05,1.48
WWF WrestleMania 2000,1.2,0.25,0.02,0.02,1.48
Wario Land II,0.7,0.35,0.39,0.04,1.48
Mass Effect 2,0.78,0.47,0.03,0.2,1.48
Major League Baseball 2K5,0.72,0.56,0,0.19,1.48
Fight Night 2004,1.08,0.2,0,0.2,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,0.82,0.59,0,0.07,1.48
Imagine: Master Chef,0.39,0.92,0,0.17,1.47
Assassin's Creed III: Liberation,0.58,0.55,0.06,0.28,1.47
SoulCalibur IV,0.72,0.41,0.14,0.2,1.47
Mario Golf,0.62,0.18,0.65,0.02,1.47
Disney Princess,1.04,0.37,0,0.06,1.47
Fight Night Round 3,1.33,0.03,0.01,0.1,1.47
Metal Gear Rising: Revengeance,0.45,0.4,0.44,0.18,1.47
Chrono Trigger,0.69,0.2,0.49,0.09,1.47
Star Wars: The Force Unleashed II,0.95,0.4,0,0.12,1.47
The House of the Dead 2 & 3 Return,0.78,0.5,0.03,0.15,1.47
Disney Princess: Magical Jewels,1.15,0.2,0,0.12,1.47
LittleBigPlanet PS Vita,0.4,0.72,0.02,0.33,1.47
Xenogears,0.29,0.19,0.89,0.1,1.46
The SpongeBob SquarePants Movie,1.02,0.38,0,0.06,1.46
Tom Clancy's Ghost Recon: Future Soldier,0.93,0.4,0.02,0.12,1.46
Battlefield: Bad Company,0.81,0.46,0.04,0.15,1.46
Midway Arcade Treasures,0.72,0.56,0,0.19,1.46
Wall-E,0.46,0.83,0,0.17,1.46
Triple Play 99,0.81,0.55,0,0.1,1.46
Homefront,0.83,0.48,0.02,0.12,1.46
Super Monkey Ball,0.95,0.37,0.1,0.04,1.46
Donkey Kong,1.36,0.08,0,0.02,1.46
Mortal Kombat 4,0.81,0.55,0,0.1,1.46
Mario Superstar Baseball,0.93,0.24,0.25,0.04,1.46
Mass Effect 3,0.63,0.59,0.03,0.21,1.46
LEGO Batman 2: DC Super Heroes,0.94,0.4,0,0.11,1.46
Medal of Honor: Warfighter,0.47,0.65,0.06,0.28,1.46
WCW vs the World,1.17,0.2,0.04,0.05,1.46
SNK vs. Capcom: The Match of the Millennium,0.53,0.58,0,0.35,1.46
LEGO City Undercover,0.51,0.75,0.07,0.12,1.46
Onimusha 3: Demon Siege,0.37,0.47,0.54,0.07,1.45
Diablo III,0.89,0.44,0,0.12,1.45
Batman: Arkham Knight,0.86,0.46,0,0.13,1.45
BioShock,0.75,0.49,0.01,0.21,1.45
Red Dead Revolver,0.71,0.55,0,0.19,1.45
Anno 2070,0,1.13,0,0.32,1.45
Resident Evil: Outbreak,0.54,0.35,0.46,0.1,1.45
Smarty Pants,0.53,0.76,0,0.16,1.45
Tamagotchi,0,0,1.44,0.01,1.45
4 Nin uchi Mahjong,0,0,1.45,0,1.45
Dragon Ball Z,0,0,1.45,0,1.45
Game de Hakken!! Tamagotchi 2,0,0,1.44,0.01,1.45
Namco Museum 64,1.24,0.17,0.03,0.01,1.45
Hasbro Family Game Night,0.97,0.34,0,0.13,1.45
Dragon Quest Monsters: Joker 2,0.11,0.08,1.24,0.02,1.45
Tony Hawk's American Wasteland (Weekly american sales),1.38,0.05,0,0.02,1.45
My Word Coach,0.37,0.9,0,0.18,1.45
Hello Kitty Party,0.79,0.53,0,0.13,1.44
SingStar Pop,0.04,1.08,0,0.32,1.44
Sonic Rivals,0.73,0.42,0,0.28,1.44
SimCity (2013),0.48,0.77,0,0.19,1.44
Kirby Super Star,0.26,0.07,1.09,0.02,1.44
Far Cry 4,0.33,0.79,0.08,0.23,1.44
WWE SmackDown vs Raw 2008,0.92,0.38,0,0.13,1.44
Kinect Joy Ride,0.92,0.4,0,0.12,1.44
Rayman Raving Rabbids,1.23,0.07,0.02,0.11,1.44
Need for Speed Rivals,0.33,0.74,0.05,0.31,1.44
Tiger Woods PGA Tour 2005,1.03,0.32,0,0.09,1.44
Dead Space 2,0.73,0.5,0,0.21,1.44
NCAA Football 2003,1.16,0.08,0,0.19,1.44
Frogger 2: Swampy's Revenge,0.8,0.54,0,0.09,1.43
Disney Infinity,0.96,0.37,0,0.11,1.43
LEGO Indiana Jones 2: The Adventure Continues,0.91,0.39,0,0.13,1.43
Sonic's Ultimate Genesis Collection,0.85,0.46,0,0.13,1.43
Tiger Woods PGA Tour 09 All-Play,0.81,0.48,0,0.14,1.43
Disney's DuckTales,0.82,0.23,0.35,0.03,1.43
Classic NES Series: Super Mario Bros.,0,0,1.39,0.03,1.43
Triple Play 2000,0.79,0.54,0,0.09,1.43
Dragon Quest VII: Warriors of Eden,0.07,0.04,1.3,0.01,1.42
Cabela's Big Game Hunter,0.7,0.54,0,0.18,1.42
UFC Undisputed 2010,0.8,0.41,0.02,0.19,1.42
NBA Live 06 (Weekly american sales),1.35,0.05,0,0.02,1.42
The Legend of Zelda: The Minish Cap,0.89,0.22,0.22,0.1,1.42
NFL Street,1.15,0.08,0,0.19,1.42
Sonic Generations,0.71,0.57,0,0.14,1.42
Super Metroid,0.57,0.12,0.71,0.02,1.42
Pro Yakyuu Family Stadium '87,0.12,0,1.3,0,1.42
Dead Space,0.89,0.4,0,0.13,1.42
Resident Evil (Remake),0.63,0.38,0.35,0.05,1.42
Inazuma Eleven 2,0,0.21,1.18,0.03,1.42
Tomb Raider (2013),0.47,0.64,0.06,0.25,1.41
LEGO Star Wars II: The Original Trilogy,0.58,0.51,0,0.32,1.41
Toy Story 3: The Video Game,0.64,0.63,0,0.14,1.41
Fight Night Round 4,0.95,0.34,0,0.13,1.41
LEGO Star Wars: The Video Game,1.09,0.28,0,0.04,1.41
Injustice: Gods Among Us,0.97,0.34,0,0.11,1.41
Madden NFL 15,1.07,0.15,0,0.19,1.41
Disney's The Lion King,0.97,0.37,0.03,0.05,1.41
Ridge Racer,0.36,0.45,0.32,0.28,1.41
Metroid: Other M,0.87,0.31,0.13,0.1,1.41
Knockout Kings 2000,1.02,0.34,0,0.05,1.41
Gran Turismo 4 Prologue,0,0.47,0.77,0.17,1.41
Twisted Metal: Black,1.19,0.17,0,0.05,1.41
NASCAR 2005: Chase for the Cup,0.69,0.54,0,0.18,1.41
Call of Duty: Black Ops,0.82,0.47,0,0.12,1.4
Spider-Man: The Movie,1.07,0.28,0,0.05,1.4
Need For Speed: Undercover,0.38,0.08,0.03,0.93,1.4
2Xtreme,1.15,0.2,0,0.05,1.4
Far Cry 2,0.43,0.7,0.01,0.27,1.4
Sonic Advance 3,0.74,0.52,0.08,0.06,1.4
Final Fantasy III,0,0,1.39,0.01,1.4
Battlefield 4,0.38,0.86,0,0.16,1.4
Colin McRae Rally 3,0.03,1.05,0.02,0.3,1.4
Madden NFL 2002,0.78,0.53,0,0.09,1.39
Doom (2016),0.49,0.66,0.02,0.22,1.39
Final Fantasy XII: Revenant Wings,0.34,0.42,0.54,0.1,1.39
Bakugan: Battle Brawlers,1.27,0.02,0,0.09,1.39
Deus Ex: Human Revolution,0.5,0.6,0.07,0.23,1.39
NBA Jam,1.19,0.16,0,0.03,1.39
Teenage Mutant Ninja Turtles III: The Manhattan Project,1.05,0.17,0.15,0.02,1.39
Dynasty Warriors 5,0.24,0.18,0.91,0.06,1.39
Hannah Montana: Spotlight World Tour,0.87,0.38,0,0.13,1.39
WWE '13,0.51,0.62,0,0.26,1.39
Deus Ex: Human Revolution,0.76,0.48,0.02,0.12,1.39
True Crime: Streets of LA,0.96,0.37,0,0.05,1.38
The Sims 2,0.49,0.56,0,0.33,1.38
Paper Mario,0.58,0.18,0.59,0.02,1.38
Bravely Default: Flying Fairy,0.5,0.32,0.49,0.07,1.38
Titanfall,0.87,0.38,0.02,0.11,1.38
Duke Nukem: Time to Kill,0.77,0.54,0,0.07,1.38
Persona 4: Golden,0.46,0.34,0.38,0.21,1.38
Dead Rising 2,0.43,0.57,0.15,0.22,1.38
Hasbro Family Game Night 2,0.71,0.53,0,0.13,1.38
Disney Princess: Enchanted Journey,1.24,0.04,0,0.09,1.38
Gardening Mama,0.8,0.43,0.01,0.13,1.38
Dave Mirra Freestyle BMX 2,0.67,0.53,0,0.18,1.38
Need for Speed: The Run,0.63,0.58,0,0.15,1.38
LEGO Indiana Jones: The Original Adventures,0.6,0.01,0,0.76,1.37
Assassin's Creed: Rogue,0.46,0.62,0.06,0.23,1.37
Ridge Racer 7,0.24,0.7,0.16,0.26,1.37
A Collection of Activision Classic Games for the Atari 2600,0.76,0.52,0,0.09,1.37
Forza Horizon 2,0.5,0.78,0.01,0.09,1.37
MotorStorm: Pacific Rift,0.43,0.67,0.02,0.26,1.37
Sonic Colors,0.74,0.5,0.01,0.13,1.37
Star Wars Knights of the Old Republic II: The Sith Lords,0.99,0.33,0,0.05,1.37
LEGO Harry Potter: Years 1-4,0.55,0.6,0,0.22,1.37
Pocket Monsters Stadium,0,0,1.37,0,1.37
NBA 2K15,0.86,0.27,0.02,0.22,1.36
Tom Clancy's Ghost Recon 2,0.86,0.45,0,0.06,1.36
Crash Bandicoot 2: N-Tranced,0.63,0.66,0,0.07,1.36
Burnout Paradise,0.63,0.58,0.01,0.15,1.36
SingStar Abba,0.23,0.04,0,1.09,1.36
Gradius,0.27,0.08,1,0.01,1.36
Dragon Quest III: Soshite Densetsu e...,0,0,1.36,0,1.36
Centipede,1.26,0.08,0,0.01,1.36
Yoshi's New Island,0.47,0.51,0.28,0.09,1.36
Ryse: Son of Rome,0.82,0.42,0,0.11,1.36
Dead to Rights,0.67,0.52,0,0.17,1.36
LEGO Harry Potter: Years 5-7,0.76,0.47,0,0.13,1.36
Marvel vs. Capcom 3: Fate of Two Worlds,0.81,0.29,0.11,0.14,1.35
Dance Dance Revolution (Japan),0,0,1.26,0.09,1.35
F1 2010,0.25,0.76,0.08,0.27,1.35
Madden NFL 98,1.29,0.03,0,0.03,1.35
FIFA Soccer 09,0.23,0.73,0.02,0.37,1.35
Namco Museum DS,1.18,0.01,0.06,0.09,1.35
FIFA Soccer 08,0.2,0.76,0,0.39,1.35
Grand Theft Auto: Chinatown Wars,0.59,0.57,0.05,0.14,1.35
Alan Wake,0.66,0.51,0.05,0.13,1.35
Battlefield: Bad Company,0.76,0.36,0.05,0.18,1.35
Mortal Kombat X,1,0.21,0,0.13,1.35
Samurai Warriors,0.22,0.05,1.06,0.02,1.35
The Simpsons: Hit & Run,0.7,0.58,0,0.07,1.35
Devil May Cry 4,0.79,0.34,0.08,0.13,1.35
Tom Clancy's Rainbow Six: Vegas 2,0.66,0.45,0.04,0.21,1.35
Monster Hunter Freedom,0.24,0.04,1.03,0.04,1.35
Crysis 2,0.7,0.5,0.02,0.12,1.35
SaGa Frontier,0.15,0.04,1.07,0.09,1.35
SingStar Party,0,1.04,0,0.31,1.35
FIFA Soccer 08,0.31,0.89,0.01,0.14,1.35
The ICO & Shadow of the Colossus Collection,0.67,0.37,0.13,0.17,1.35
Test Drive,0.95,0.21,0.01,0.18,1.34
Mario & Luigi: Partners in Time,0.77,0.07,0.43,0.08,1.34
Lost Planet: Extreme Condition,1.09,0.04,0.1,0.11,1.34
Mortal Kombat 3,1.03,0.27,0,0.04,1.34
Doom 3,0.85,0.43,0,0.06,1.34
Donkey Kong Jungle Beat,0.84,0.22,0.24,0.04,1.34
Need for Speed Carbon,1.22,0.05,0.05,0.01,1.34
Max Payne 2: The Fall of Max Payne,0.65,0.51,0,0.17,1.34
Command & Conquer: Red Alert 2,1.32,0.02,0,0,1.34
MVP Baseball 2004,1.1,0.06,0,0.18,1.34
WWE SmackDown vs Raw 2008,0.62,0.5,0.01,0.21,1.33
Ratchet & Clank: Up Your Arsenal (Weekly american sales),1.27,0.05,0,0.02,1.33
Your Shape: Fitness Evolved,0.79,0.42,0,0.11,1.33
Rage,0.47,0.59,0.06,0.21,1.33
Skylanders SWAP Force,0.86,0.36,0,0.11,1.33
NBA 2K14,0.89,0.31,0.01,0.12,1.33
Spider-Man: The Movie,0.92,0.35,0.01,0.05,1.33
WWF War Zone,1.08,0.24,0,0.02,1.33
Tony Hawk's Pro Skater,0.9,0.38,0.01,0.05,1.33
The Sims: Bustin' Out,0.93,0.35,0,0.06,1.33
Triple Play 2001,0.74,0.5,0,0.09,1.33
Metroid Prime 2: Echoes,0.87,0.35,0.07,0.04,1.33
UFC Undisputed 2010,0.9,0.31,0,0.11,1.33
Final Fantasy X / X-2 HD Remaster,0.43,0.4,0.32,0.18,1.33
Corvette,0.65,0.51,0,0.17,1.33
Petz Wild Animals: Dolphinz,0.71,0.48,0,0.13,1.33
Pokemon Ranger: Guardian Signs,0.51,0.17,0.58,0.06,1.33
Middle-Earth: Shadow of Mordor,0.72,0.5,0.01,0.1,1.32
Need for Speed Underground Rivals,0.69,0.38,0.02,0.24,1.32
LEGO Batman: The Videogame,0.72,0.42,0,0.19,1.32
Dark Souls II,0.4,0.36,0.4,0.17,1.32
World of Warcraft: Wrath of the Lich King,0.01,0.13,0,1.18,1.32
Kingdom Hearts II,0.52,0.43,0.18,0.19,1.32
The LEGO Movie Videogame,0.69,0.52,0,0.11,1.32
TOCA 2: Touring Cars,0.03,1.16,0.02,0.11,1.32
Gyromite,0.73,0.16,0.4,0.03,1.32
NFL 2K3,1.06,0.08,0,0.18,1.32
Fighting Force,0.73,0.5,0,0.09,1.32
Mega Man Battle Network 4: Red Sun / Blue Moon,0.31,0.04,0.96,0.01,1.32
MAG: Massive Action Game,0.77,0.3,0.09,0.16,1.32
Madden NFL 97,0.73,0.5,0,0.09,1.32
Cars 2,0.72,0.44,0.04,0.12,1.32
Skylanders Giants,0.75,0.45,0,0.11,1.32
LEGO Batman: The Videogame,0.57,0.46,0,0.28,1.32
TNN Motor Sports Hardcore 4x4,0.73,0.5,0,0.09,1.31
IHRA Drag Racing 2,0.64,0.5,0,0.17,1.31
The Beatles: Rock Band,0.97,0.23,0,0.11,1.31
Tekken 6,0.71,0.42,0.05,0.13,1.31
[Prototype],0.84,0.35,0,0.12,1.31
Deal or No Deal,1.22,0,0,0.09,1.31
Madagascar,0.78,0.45,0,0.07,1.31
Rugrats Studio Tour,0.57,0.67,0,0.07,1.31
LEGO Battles,0.81,0.38,0,0.12,1.31
Pitfall II: Lost Caverns,1.22,0.07,0,0.02,1.31
Turok: Evolution,0.64,0.5,0,0.17,1.31
High School Musical 3: Senior Year DANCE!,0.68,0.49,0,0.13,1.31
Gold's Gym: Cardio Workout,1.11,0.04,0.06,0.09,1.31
Burnout 3: Takedown,0.84,0.43,0,0.04,1.31
Adventure,1.21,0.08,0,0.01,1.3
Yu-Gi-Oh! The Sacred Cards,0.94,0.35,0,0.02,1.3
Crysis 2,0.45,0.57,0.06,0.21,1.3
NBA Live 07,1.07,0.04,0.02,0.17,1.3
Saints Row IV,0.56,0.44,0.09,0.21,1.3
SingStar '80s,0.27,0.02,0,1.02,1.3
EA Playground,0.69,0.48,0,0.13,1.3
Test Drive 5,1.05,0.2,0,0.05,1.3
Romancing SaGa 3,0,0,1.29,0.01,1.3
EA Sports Active 2,0.78,0.4,0,0.11,1.3
Digimon World,0.56,0.38,0.28,0.08,1.3
Rise of the Tomb Raider,0.53,0.64,0.02,0.1,1.3
Need for Speed Carbon,0.46,0.66,0.02,0.15,1.29
Yoshi's Woolly World,0.61,0.47,0.11,0.1,1.29
Mega Man Battle Network 3 Blue / White Version,0.39,0.02,0.85,0.03,1.29
FIFA Street,0.11,0.92,0,0.25,1.29
Resident Evil Zero,0.54,0.27,0.45,0.04,1.29
Need for Speed: Most Wanted,1,0.17,0.02,0.1,1.29
Tom Clancy's Rainbow Six: Siege,0.73,0.44,0,0.12,1.29
Pirates of the Caribbean: The Curse of the Black Pearl,0.93,0.34,0,0.02,1.29
Transformers,0.63,0.49,0,0.16,1.29
Guitar Hero: Aerosmith,1.04,0.14,0,0.1,1.29
Mystery Case Files: MillionHeir,0.76,0.4,0,0.12,1.29
Valkyria Chronicles,0.71,0.2,0.24,0.13,1.29
Midnight Club 3: DUB Edition (America weekly sales),1.22,0.05,0,0.01,1.29
Champions of Norrath,0.63,0.49,0,0.16,1.28
Watch Dogs,0.72,0.45,0.01,0.11,1.28
Imagine: Wedding Designer,0.55,0.59,0,0.14,1.28
Metal Gear Solid V: Ground Zeroes,0.45,0.46,0.17,0.2,1.28
Yakuman,0,0,1.28,0,1.28
Assassin's Creed Syndicate,0.61,0.56,0,0.11,1.28
Army Men 3D,1.1,0.14,0,0.04,1.28
WWE '13,0.72,0.45,0,0.11,1.28
Twisted Metal 4,1.07,0.16,0,0.04,1.28
Manhunt,0.63,0.49,0,0.16,1.28
Kid Icarus: Uprising,0.48,0.35,0.36,0.07,1.28
Silent Hill 2,0.62,0.49,0,0.16,1.28
Tomb Raider: Underworld,0.45,0.56,0.05,0.22,1.27
Castlevania: Symphony of the Night,0.58,0.4,0.21,0.08,1.27
The Sims 2: Nightlife,1.22,0.05,0,0,1.27
LEGO Batman: The Videogame,0.72,0.03,0,0.52,1.27
Road Rash,0.71,0.48,0,0.08,1.27
Pokemon Mystery Dungeon: Gates to Infinity,0.44,0.3,0.47,0.06,1.27
Atlantis,1.18,0.08,0,0.01,1.27
NBA 2K9,1,0.16,0,0.11,1.27
WWE '12,0.74,0.4,0,0.12,1.27
Tony Hawk's Underground,0.85,0.37,0,0.05,1.27
Hogan's Alley,0.68,0.16,0.41,0.02,1.27
The Elder Scrolls Online,0.77,0.38,0,0.12,1.27
Jillian Michaels' Fitness Ultimatum 2009,0.96,0.2,0,0.11,1.27
.hack//Infection Part 1,0.49,0.38,0.26,0.13,1.27
Rockstar Games presents Table Tennis,0.39,0.73,0,0.15,1.27
Sonic Adventure DX: Director's Cut,0.87,0.3,0.06,0.03,1.27
Jet Li: Rise to Honor,0.62,0.48,0,0.16,1.27
Battle Arena Toshinden,0.39,0.26,0.53,0.08,1.27
Yokai Watch 3,0,0,1.27,0,1.27
Kung Fu Panda,0.56,0.57,0,0.14,1.26
Tamagotchi Connection: Corner Shop,0.1,0.02,1.12,0.01,1.26
Football Manager 2011,0,1.01,0,0.25,1.26
Devil Dice,0.05,0.03,1.1,0.08,1.26
Final Fantasy IV,0.54,0.05,0.62,0.05,1.26
Hyrule Warriors,0.61,0.42,0.13,0.1,1.26
Need for Speed Carbon,0.49,0.52,0.03,0.21,1.26
Championship Manager 03/04,0,1.15,0,0.11,1.26
Brian Lara Cricket,0.02,1.13,0.01,0.1,1.26
Ratatouille,0.5,0.62,0,0.14,1.26
Wheel of Fortune,0.99,0.22,0,0.04,1.26
LEGO The Lord of the Rings,0.63,0.51,0,0.11,1.26
Winter Sports: The Ultimate Challenge,0.45,0.68,0,0.12,1.26
SOCOM: U.S. Navy SEALs Confrontation,0.94,0.17,0.02,0.13,1.25
NBA Live 2001,0.7,0.47,0,0.08,1.25
Star Wars: The Force Unleashed,0.49,0,0.01,0.75,1.25
Combat,1.17,0.07,0,0.01,1.25
Tom Clancy's Rainbow Six: Vegas,0.47,0.53,0.03,0.22,1.25
Dragon Ball: Daimaou Fukkatsu,0,0,1.25,0,1.25
Gegege no Kitarou 2: Youkai Gundan no Chousen,0,0,1.25,0,1.25
Reel Fishing,0.99,0.13,0.1,0.04,1.25
Injustice: Gods Among Us,0.48,0.53,0.01,0.23,1.25
Pokemon XD: Gale of Darkness,0.71,0.19,0.31,0.03,1.25
Black,1.01,0.04,0.03,0.16,1.25
RollerCoaster Tycoon 2,1.19,0.05,0,0,1.25
Lara Croft Tomb Raider: The Angel of Darkness,0.61,0.48,0,0.16,1.25
Tom Clancy's Splinter Cell: Pandora Tomorrow,0.52,0.56,0,0.17,1.25
Road Rash 3D,1.05,0.16,0,0.04,1.25
Ratchet: Deadlocked,0.85,0.03,0.22,0.14,1.24
Baldur's Gate: Dark Alliance,0.61,0.48,0,0.16,1.24
Transformers: Autobots / Decepticons,1.12,0.03,0,0.09,1.24
Tales of Xillia,0.29,0.19,0.67,0.09,1.24
Diddy Kong Racing DS,1.1,0.04,0,0.1,1.24
[Prototype],0.65,0.41,0,0.19,1.24
Assassin's Creed: Bloodlines,0.43,0.48,0.05,0.28,1.24
Oddworld: Abe's Oddysee,0.75,0.44,0,0.06,1.24
The Witcher 3: Wild Hunt,0.66,0.47,0,0.11,1.24
Ridge Racer V,0.24,0.19,0.75,0.06,1.24
WWE SmackDown vs. Raw 2009,0.69,0,0,0.55,1.24
Tetris 2 (All region sales),0.56,0.22,0.43,0.03,1.24
Star Wars Episode III: Revenge of the Sith,0.82,0.38,0,0.04,1.24
Ben 10: Protector of Earth,0.55,0.55,0,0.13,1.23
Frogger: The Great Quest,0.6,0.47,0,0.16,1.23
2010 FIFA World Cup South Africa,0.3,0.64,0.07,0.22,1.23
Ninja Gaiden,0.92,0.2,0.07,0.04,1.23
Crash Bandicoot: The Wrath of Cortex,0.59,0.57,0,0.07,1.23
Driv3r,0.6,0.47,0,0.16,1.23
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,0.69,0.47,0,0.08,1.23
Farming Simulator 2015,0.08,1.02,0,0.13,1.23
Guitar Hero: Aerosmith,1,0.14,0,0.1,1.23
Medal of Honor: Airborne,0.25,0.7,0.03,0.25,1.23
Kirby Tilt 'n' Tumble,0.29,0.17,0.75,0.02,1.23
SpongeBob SquarePants: Battle for Bikini Bottom,0.88,0.33,0,0.02,1.23
Vigilante 8,0.68,0.47,0,0.08,1.23
Castlevania,0.54,0.06,0.62,0.01,1.23
Donkey Kong Country 2,0.79,0.27,0.12,0.04,1.23
Bayonetta,0.44,0.41,0.21,0.17,1.23
"WarioWare, Inc.: Mega MicroGame$",0.4,0.11,0.7,0.02,1.23
Star Wars: Battlefront II,1.05,0.06,0.01,0.11,1.23
Madden NFL 17,0.92,0.08,0,0.23,1.23
Boom Blox,0.72,0.38,0,0.12,1.23
Fallout 4,0.5,0.63,0,0.1,1.23
The Sims 2: Castaway,0.45,0.64,0,0.14,1.23
LEGO Batman 2: DC Super Heroes,0.5,0.53,0,0.2,1.22
Naruto Shippuden: Ultimate Ninja Storm 2,0.42,0.47,0.15,0.18,1.22
Mario Power Tennis,0.58,0.16,0.46,0.03,1.22
Intelligent Qube,0.13,0.07,1,0.02,1.22
Game & Watch Gallery 2,0.76,0.3,0.12,0.04,1.22
Game & Watch Gallery 3,0.79,0.31,0.08,0.04,1.22
Pac-Man,0.27,0.08,0.85,0.02,1.22
Parfait: Chocolat Second Style,0.59,0.46,0.01,0.15,1.22
F1 2011,0.12,0.75,0.11,0.25,1.22
Cars,0.72,0.29,0,0.21,1.22
NBA Live 99,1.13,0.05,0,0.03,1.22
