Rank,Name,Platform,Year,Genre,Publisher
1356,Cabela's Big Game Hunter,PS2,2002,Sports,Activision
1357,UFC Undisputed 2010,PS3,2010,Fighting,THQ
1358,NBA Live 06 (Weekly american sales),PS2,2005,Sports,Electronic Arts
1359,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo
1360,NFL Street,PS2,2004,Sports,Electronic Arts
1361,Sonic Generations,X360,2011,Platform,Sega
1362,Super Metroid,SNES,1994,Action,Nintendo
1363,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games
1364,Dead Space,X360,2008,Action,Electronic Arts
1365,Resident Evil (Remake),GC,2002,Action,Capcom
1366,Inazuma Eleven 2,DS,2009,Role-Playing,Nintendo
1367,Tomb Raider (2013),PS4,2014,Action,Square Enix
1368,LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts
1369,Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios
1370,Fight Night Round 4,X360,2009,Fighting,Electronic Arts
1371,LEGO Star Wars: The Video Game,GC,2005,Action,Eidos Interactive
1372,Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment
1373,Madden NFL 15,PS3,2014,Sports,Electronic Arts
1374,Disney's The Lion King,GEN,1994,Platform,Virgin Interactive
1375,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment
1376,Metroid: Other M,Wii,2010,Action,Nintendo
1377,Knockout Kings 2000,PS,1999,Fighting,Electronic Arts
1378,Gran Turismo 4 Prologue,PS2,2003,Racing,Sony Computer Entertainment
1379,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment
1380,NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts
1381,Call of Duty: Black Ops,Wii,2010,Shooter,Activision
1382,Spider-Man: The Movie,XB,2002,Action,Activision
1383,Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts
1384,2Xtreme,PS,1996,Sports,Sony Computer Entertainment
1385,Far Cry 2,PS3,2008,Action,Ubisoft
1386,Sonic Advance 3,GBA,2004,Platform,THQ
1387,Final Fantasy III,NES,1990,Role-Playing,SquareSoft
1388,Battlefield 4,PC,2013,Shooter,Electronic Arts
1389,Colin McRae Rally 3,PS2,2002,Racing,Codemasters
1390,Madden NFL 2002,PS,2001,Sports,Electronic Arts
1391,Doom (2016),PS4,2016,Shooter,Bethesda Softworks
1392,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix
1393,Bakugan: Battle Brawlers,DS,2009,Action,Activision
1394,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix
1395,NBA Jam,SNES,1994,Sports,Acclaim Entertainment
1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment
1397,Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei
1398,Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios
1399,WWE '13,PS3,2012,Action,THQ
1400,Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix
1401,True Crime: Streets of LA,XB,2003,Action,Activision
1402,The Sims 2,PSP,2005,Simulation,Electronic Arts
1403,Paper Mario,N64,2000,Role-Playing,Nintendo
1404,Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo
1405,Titanfall,X360,2014,Shooter,Electronic Arts
1406,Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive
1407,Persona 4: Golden,PSV,2012,Role-Playing,Atlus
1408,Dead Rising 2,PS3,2010,Action,Capcom
1409,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts
1410,Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios
1411,Gardening Mama,DS,2009,Puzzle,505 Games
1412,Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment
1413,Need for Speed: The Run,X360,2011,Action,Electronic Arts
1414,LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts
1415,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft
1416,Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games
1417,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision
1418,Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios
1419,MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment
1420,Sonic Colors,DS,2010,Platform,Sega
1421,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision
1422,LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment
1423,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo
1424,NBA 2K15,PS3,2014,Sports,Take-Two Interactive
1425,Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft
1426,Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games
1427,Burnout Paradise,X360,2008,Racing,Electronic Arts
1428,SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment
1429,Gradius,NES,1986,Shooter,Konami Digital Entertainment
1430,Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix Corporation
1431,Centipede,2600,1981,Shooter,Atari
1432,Yoshi's New Island,3DS,2014,Platform,Nintendo
1433,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios
1434,Dead to Rights,PS2,2002,Shooter,Electronic Arts
1435,LEGO Harry Potter: Years 5-7,Wii,N/A,Action,Warner Bros. Interactive Entertainment
1436,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom
1437,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment
1438,F1 2010,PS3,2010,Racing,Codemasters
1439,Madden NFL 98,PS,1997,Sports,Electronic Arts
1440,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts
1441,Namco Museum DS,DS,2007,Misc,Atari
1442,FIFA Soccer 08,PSP,2007,Sports,Electronic Arts
1443,Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive
1444,Alan Wake,X360,2010,Action,Microsoft Game Studios
1445,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts
1446,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment
1447,Samurai Warriors,PS2,2004,Action,Electronic Arts
1448,The Simpsons: Hit & Run,XB,2003,Racing,Vivendi Games
1449,Devil May Cry 4,X360,2008,Action,Capcom
1450,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft
1451,Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom
1452,Crysis 2,X360,2011,Action,Electronic Arts
1453,SaGa Frontier,PS,1997,Role-Playing,SquareSoft
1454,SingStar Party,PS2,2004,Misc,Sony Computer Entertainment
1455,FIFA Soccer 08,X360,2007,Sports,Electronic Arts
1456,The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment
1457,Test Drive,PS2,2002,Racing,Atari
1458,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo
1459,Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom
1460,Mortal Kombat 3,GEN,1994,Fighting,Acclaim Entertainment
1461,Doom 3,XB,2005,Shooter,Activision
1462,Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo
1463,Need for Speed Carbon,PS2,2006,Racing,Electronic Arts
1464,Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive
1465,Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts
1466,MVP Baseball 2004,PS2,2004,Sports,Electronic Arts
1467,WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ
1468,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment
1469,Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft
1470,Rage,PS3,2011,Shooter,Bethesda Softworks
1471,Skylanders SWAP Force,X360,2013,Platform,Activision
1472,NBA 2K14,PS4,2013,Sports,Take-Two Interactive
1473,Spider-Man: The Movie,GBA,2002,Action,Activision
1474,WWF War Zone,N64,1998,Fighting,Acclaim Entertainment
1475,Tony Hawk's Pro Skater,GB,2000,Sports,Activision
1476,The Sims: Bustin' Out,GBA,2003,Simulation,Electronic Arts
1477,Triple Play 2001,PS,2000,Sports,Electronic Arts
1478,Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo
1479,UFC Undisputed 2010,X360,2010,Fighting,THQ
1480,Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix
1481,Corvette,PS2,2004,Racing,TDK Mediactive
1482,Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft
1483,Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo
1484,Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment
1485,Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts
1486,LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment
1487,Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games
1488,World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision
1489,Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix
1490,The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment
1491,TOCA 2: Touring Cars,PS,1998,Racing,Codemasters
1492,Gyromite,NES,1985,Puzzle,Nintendo
1493,NFL 2K3,PS2,2002,Sports,Atari
1494,Fighting Force,PS,1997,Fighting,Eidos Interactive
1495,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,Role-Playing,Capcom
1496,MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment
1497,Madden NFL 97,PS,1996,Sports,Electronic Arts
1498,Cars 2,DS,2011,Racing,Disney Interactive Studios
1499,Skylanders Giants,X360,2012,Action,Activision
1500,LEGO Batman: The Videogame,PSP,N/A,Action,Warner Bros. Interactive Entertainment
1501,TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games
1502,IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks
1503,The Beatles: Rock Band,X360,2009,Misc,MTV Games
1504,Tekken 6,X360,2009,Fighting,Namco Bandai Games
1505,[Prototype],X360,2009,Action,Activision
1506,Deal or No Deal,Wii,2009,Misc,Zoo Games
1507,Madagascar,PS2,2005,Platform,Activision
1508,Rugrats Studio Tour,PS,1999,Adventure,THQ
1509,LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment
1510,Pitfall II: Lost Caverns,2600,1983,Platform,Activision
1511,Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment
1512,High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios
1513,Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft
1514,Burnout 3: Takedown,XB,2004,Racing,Electronic Arts
1515,Adventure,2600,N/A,Adventure,Atari
1516,Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment
1517,Crysis 2,PS3,2011,Action,Electronic Arts
1518,NBA Live 07,PS2,2006,Sports,Electronic Arts
1519,Saints Row IV,PS3,2013,Action,Deep Silver
1520,SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment
1521,EA Playground,Wii,2007,Sports,Electronic Arts
1522,Test Drive 5,PS,1997,Racing,Accolade
1523,Romancing SaGa 3,SNES,1995,Role-Playing,SquareSoft
1524,EA Sports Active 2,Wii,2010,Sports,Electronic Arts
1525,Digimon World,PS,1999,Role-Playing,Namco Bandai Games
1526,Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix
1527,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts
1528,Yoshi's Woolly World,WiiU,2015,Platform,Nintendo
1529,Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom
1530,FIFA Street,PS3,2012,Sports,Electronic Arts
1531,Resident Evil Zero,GC,2002,Action,Capcom
1532,Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts
1533,Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft
1534,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive
1535,Transformers,PS2,2004,Shooter,Atari
1536,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision
1537,Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo
1538,Valkyria Chronicles,PS3,2008,Role-Playing,Sega
1539,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive
1540,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment
1541,Watch Dogs,X360,2014,Action,Ubisoft
1542,Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft
1543,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment
1544,Yakuman,GB,1989,Misc,Nintendo
1545,Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft
1546,Army Men 3D,PS,1999,Action,3DO
1547,WWE '13,X360,2012,Action,THQ
1548,Twisted Metal 4,PS,1999,Racing,989 Studios
1549,Manhunt,PS2,2003,Action,Take-Two Interactive
1550,Kid Icarus: Uprising,3DS,2012,Action,Nintendo
1551,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment
1552,Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive
1553,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment
1554,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts
1555,LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment
1556,Road Rash,PS,1995,Racing,Electronic Arts
1557,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo
1558,Atlantis,2600,1981,Shooter,Imagic
1559,NBA 2K9,X360,2008,Sports,Take-Two Interactive
1560,WWE '12,X360,2011,Fighting,THQ
1561,Tony Hawk's Underground,XB,2003,Sports,Activision
1562,Hogan's Alley,NES,1984,Shooter,Nintendo
1563,The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks
1564,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver
1565,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari
1566,Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive
1567,Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega
1568,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment
1569,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment
1570,Yokai Watch 3,3DS,2016,Action,Level 5
1571,Kung Fu Panda,DS,2008,Action,Activision
1572,Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari
1573,Football Manager 2011,PC,2010,Sports,Sega
1574,Devil Dice,PS,1998,Puzzle,THQ
1575,Final Fantasy IV,DS,2007,Simulation,Square Enix
1576,Hyrule Warriors,WiiU,2014,Action,Nintendo
1577,Need for Speed Carbon,PS3,2006,Racing,Electronic Arts
1578,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive
1579,Brian Lara Cricket,PS,1998,Sports,Codemasters
1580,Ratatouille,DS,2007,Action,THQ
1581,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive
1582,LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment
1583,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL
1584,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment
1585,NBA Live 2001,PS,2000,Sports,Electronic Arts
1586,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts
1587,Combat,2600,N/A,Action,Atari
1588,Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft
1589,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games
1591,Reel Fishing,PS,1996,Sports,Natsume
1592,Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment
1593,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo
1594,Black,PS2,2006,Shooter,Electronic Arts
1595,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari
1596,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive
1597,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft
1598,Road Rash 3D,PS,1998,Racing,Electronic Arts
1599,Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment
1600,Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive
1601,Transformers: Autobots / Decepticons,DS,2007,Action,Activision
1602,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games
1603,Diddy Kong Racing DS,DS,2007,Racing,Nintendo
1604,[Prototype],PS3,2009,Action,Activision
1605,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft
1606,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive
1607,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games
1608,Ridge Racer V,PS2,2000,Action,Namco Bandai Games
1609,WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ
1610,Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo
1611,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision
1612,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher
1613,Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment
1614,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts
1615,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios
1616,Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive
1617,Driv3r,PS2,2004,Racing,Atari
1618,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment
1619,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive
1620,Guitar Hero: Aerosmith,X360,2008,Misc,Activision
1621,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts
1622,Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo
1623,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ
1624,Vigilante 8,PS,1998,Racing,Activision
1625,Castlevania,NES,1986,Platform,Konami Digital Entertainment
1626,Donkey Kong Country 2,GBA,2004,Platform,Nintendo
1627,Bayonetta,PS3,2009,Action,Sega
1628,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo
1629,Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts
1630,Madden NFL 17,PS4,2016,Sports,Electronic Arts
1631,Boom Blox,Wii,2008,Puzzle,Electronic Arts
1632,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks
1633,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts
1634,LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment
1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games
1636,Mario Power Tennis,GC,2004,Sports,Nintendo
1637,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment
1638,Game & Watch Gallery 2,GB,1997,Misc,Nintendo
1639,Game & Watch Gallery 3,GB,1999,Misc,Nintendo
1640,Pac-Man,NES,1984,Puzzle,Namco Bandai Games
1641,Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist
1642,F1 2011,PS3,2011,Racing,Codemasters
1643,Cars,PSP,2006,Racing,THQ
1644,NBA Live 99,PS,1997,Sports,Electronic Arts
1645,Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft
1646,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo
1647,SimCity 2000,PS,1996,Simulation,Maxis
1648,Max Payne,XB,2001,Shooter,Take-Two Interactive
1649,WCW Mayhem,PS,1998,Fighting,Electronic Arts
1650,NBA 2K2,PS2,2002,Sports,Sega
1651,NASCAR Thunder 2003,PS2,N/A,Racing,Unknown
1652,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom
1653,Cars,PS2,2006,Racing,THQ
1654,Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios
1655,Call of Duty: Finest Hour,XB,2004,Shooter,Activision
1656,FIFA Soccer 11,PSP,2010,Sports,Electronic Arts
1657,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment
1658,LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,Activision
1659,The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom
1660,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation
1661,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts
1662,Dino Crisis 2,PS,2000,Action,Virgin Interactive
1663,Need for Speed Underground,GC,2003,Racing,Electronic Arts
1664,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,N/A
1665,Test Drive 4,PS,1997,Racing,Electronic Arts
1666,FIFA Soccer 07,PSP,2006,Sports,Electronic Arts
1667,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,Konami Digital Entertainment
1668,The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games
1669,LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts
1670,ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games
1671,Pikmin 2,GC,2004,Strategy,Nintendo
1672,Just Dance 2016,Wii,2015,Misc,Ubisoft
1673,Disney Sing It,Wii,2008,Misc,Disney Interactive Studios
1674,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts
1675,WWE 2K16,PS4,2015,Sports,Take-Two Interactive
1676,Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games
1677,TwinBee,NES,1986,Shooter,Konami Digital Entertainment
1678,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment
1679,NFL 2K,DC,1999,Sports,Sega
1680,SolarStriker,GB,1989,Shooter,Nintendo
1681,Enter the Matrix,XB,2003,Action,Atari
1682,NHL 2002,PS2,2001,Sports,Electronic Arts
1683,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo
1684,PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo
1685,One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games
1686,WWE 2K14,PS3,2013,Sports,Take-Two Interactive
1687,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment
1688,Nuclear Strike,PS,1997,Simulation,Electronic Arts
1689,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo
1690,WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ
1691,The Simpsons: Road Rage,GBA,2003,Racing,THQ
1692,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment
1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ
1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,Sega
1695,Scarface: The World is Yours,PS2,2006,Action,Vivendi Games
1696,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo
1697,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom
1698,The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft
1699,Hitman 2: Silent Assassin,XB,N/A,Action,Eidos Interactive
1700,FIFA 14,XOne,2013,Sports,Electronic Arts
1701,Spider-Man: The Movie,GC,2002,Action,Activision
1702,Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo
1703,NBA 2K17,PS4,2016,Sports,Take-Two Interactive
1704,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo
1705,Just Dance 4,X360,2012,Misc,Ubisoft
1706,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment
1707,Pole Position,2600,1982,Racing,Atari
1708,Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom
1709,LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts
1710,Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games
1711,Shenmue,DC,1999,Adventure,Sega
1712,Mario Tennis,GB,2000,Sports,Nintendo
1713,Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision
1714,WWE '12,PS3,2011,Fighting,THQ
1715,WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ
1716,Plants vs. Zombies,DS,2011,Strategy,Mastertronic
1717,Sonic the Hedgehog,PS3,2006,Platform,Sega
1718,Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom
1719,Spore,PC,2008,Strategy,Electronic Arts
1720,Soviet Strike,PS,1996,Simulation,Electronic Arts
1721,Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft
1722,Army of Two,PS3,2008,Shooter,Electronic Arts
1723,Gun,PS2,2005,Shooter,Activision
1724,Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts
1725,Wario Land: Shake It!,Wii,2008,Platform,Nintendo
1726,Sonic Rush Adventure,DS,2007,Platform,Sega
1727,Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts
1728,Mega Man 3,NES,1990,Platform,Capcom
1729,Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment
1730,Mission: Impossible,N64,1997,Action,Ocean
1731,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft
1732,Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing
1733,Cool Boarders 4,PS,1998,Sports,989 Studios
1734,Rage Racer,PS,1996,Racing,Sony Computer Entertainment
1735,Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts
1736,Football Manager 2013,PC,2012,Sports,Sega
1737,Destruction Derby 2,PS,1996,Racing,Psygnosis
1738,Mirror's Edge,X360,2008,Platform,Electronic Arts
1739,Destiny: The Taken King,XOne,2015,Shooter,Activision
1740,Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo
1741,007: Quantum of Solace,PS3,2008,Action,Activision
1742,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts
1743,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks
1744,Need for Speed: Most Wanted,PSV,2012,Racing,Electronic Arts
1745,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix
1746,Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive
1747,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft
1748,SingStar,PS3,2007,Misc,Sony Computer Entertainment
1749,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment
1750,LEGO Star Wars III: The Clone Wars,DS,2011,Action,LucasArts
1751,NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts
1752,Jet Force Gemini,N64,1999,Shooter,Nintendo
1753,Mega Man X,SNES,1993,Platform,Capcom
1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment
1755,Sega Rally Championship,SAT,1995,Racing,Sega
1756,Test Drive: Off Road,PS,1997,Racing,Eidos Interactive
1757,Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts
1758,Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive
1759,Rocksmith,PS3,2011,Misc,Ubisoft
1760,LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive
1761,FIFA Soccer 10,PSP,2009,Sports,Electronic Arts
